csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Little Bangladesh,Los Angeles,Los Angeles - Little Bangladesh,34.06537767,-118.3003769,63,3,0,8,27,1,7,17,0,1,0,0,26,24,10,2,63,0,0,63,0,63
Little Tokyo,Los Angeles,Los Angeles - Little Tokyo,34.04699403,-118.2415978,473,8,5,11,268,7,79,95,0,1,6,7,91,219,127,22,463,10,407,66,13,21
Long Beach,Long Beach,City of Long Beach,33.8055515,-118.161013,519,17,10,8,202,14,156,105,7,5,16,22,140,148,135,53,489,30,13,506,0,227
Longwood,Los Angeles,Los Angeles - Longwood,34.03609731,-118.343548,26,1,0,0,9,0,11,4,1,0,0,1,8,12,4,1,25,1,0,26,0,10
Los Feliz,Los Angeles,Los Angeles - Los Feliz,34.13174773,-118.2996704,169,6,3,4,62,4,38,52,0,0,39,14,45,45,23,3,104,65,0,169,0,105
Lynwood,Lynwood,City of Lynwood,33.92395381,-118.2016634,51,1,0,1,15,0,18,16,0,0,0,1,7,16,22,5,51,0,10,41,0,31
Manchester Square,Los Angeles,Los Angeles - Manchester Square,33.96727296,-118.3111913,57,1,1,0,42,0,7,6,0,0,0,3,21,16,16,1,56,1,0,57,0,31
Melrose,Los Angeles,Los Angeles - Melrose,34.08272474,-118.3345861,47,3,0,1,16,5,8,13,1,0,0,46,1,0,0,0,47,0,0,47,0,13
Monterey Park,Monterey Park,City of Monterey Park,34.04970836,-118.13253,300,10,2,16,52,3,77,138,2,0,0,5,37,133,86,39,295,5,0,300,0,200
North Hills,Los Angeles,Los Angeles - North Hills,34.23873883,-118.4782178,423,54,1,5,132,10,61,156,4,3,168,90,69,58,30,5,167,256,283,140,0,77
North Hollywood,Los Angeles,Los Angeles - North Hollywood,34.19000374,-118.3907645,493,16,3,7,136,14,168,147,2,0,48,32,114,161,107,31,417,76,74,419,1,177
Norwalk,Norwalk,City of Norwalk,33.90686916,-118.0828834,352,16,8,4,70,5,101,144,4,0,0,16,63,104,106,63,352,0,32,320,1,99
Pacoima,Los Angeles,Los Angeles - Pacoima,34.26572279,-118.416768,397,19,1,2,99,13,99,160,4,0,91,17,122,97,61,9,275,122,193,204,11,141
Palmdale,Palmdale,City of Palmdale,34.59445426,-118.1057001,211,3,2,1,102,4,54,43,2,0,37,7,47,58,39,23,159,52,0,211,0,83
Panorama City,Los Angeles,Los Angeles - Panorama City,34.22429627,-118.4446,38,0,0,1,13,0,19,5,0,0,0,0,0,0,33,5,38,0,38,0,0,0
Park La Brea,Los Angeles,Los Angeles - Park La Brea,34.0697309,-118.3556274,109,6,1,5,50,2,20,24,1,0,0,6,36,29,27,11,109,0,0,109,0,39
Pasadena,Pasadena,City of Pasadena,34.15974967,-118.1389067,12,3,0,1,3,1,1,3,0,0,0,10,1,1,0,0,11,1,1,11,0,4
Pico-Union,Los Angeles,Los Angeles - Pico-Union,34.04576201,-118.2804905,104,6,0,2,23,1,14,58,0,0,13,16,15,14,19,27,82,22,24,80,0,39
Pomona,Pomona,City of Pomona,34.05847892,-117.7625986,435,15,4,10,119,14,89,182,2,9,79,19,109,117,78,24,316,119,175,260,0,151
Rancho Park,Los Angeles,Los Angeles - Rancho Park,34.03645754,-118.4291142,46,0,0,0,22,0,16,8,0,1,1,0,10,14,10,10,44,2,0,46,0,14
Reseda,Los Angeles,Los Angeles - Reseda,34.19892566,-118.5385712,118,5,0,1,21,2,64,25,0,0,0,0,21,39,33,25,118,0,0,118,0,9
San Pedro,Los Angeles,Los Angeles - San Pedro,33.73668302,-118.2846816,853,31,6,14,300,38,162,295,7,0,255,50,221,169,116,42,460,393,42,811,0,400
Santa Clarita,Santa Clarita,City of Santa Clarita,34.41747888,-118.4964757,182,5,4,3,53,2,62,52,1,0,0,7,42,65,50,18,181,1,0,182,0,79
Santa Fe Springs,Santa Fe Springs,City of Santa Fe Springs,33.93304314,-118.0625123,70,6,1,3,15,0,7,38,0,1,17,4,24,10,10,4,44,26,0,70,0,24
Santa Monica,Santa Monica,City of Santa Monica,34.02305151,-118.4818147,1837,41,11,21,730,82,651,293,8,89,225,53,277,678,404,111,1514,323,1195,642,0,74
Sherman Oaks,Los Angeles,Los Angeles - Sherman Oaks,34.1524197,-118.4390705,81,4,2,3,18,3,23,27,1,0,0,2,19,25,21,14,81,0,0,81,0,35
Silverlake,Los Angeles,Los Angeles - Silverlake,34.0957007,-118.2702422,239,1,1,9,88,8,50,80,2,0,24,5,53,86,59,12,197,42,141,98,1,29
South Park,Los Angeles,Los Angeles - South Park,33.99971616,-118.2742966,234,6,1,6,120,5,43,50,3,1,0,31,110,59,30,3,233,1,28,206,4,25
South Whittier,Unincorporated,Unincorporated - South Whittier,33.93362577,-118.0311912,47,2,1,0,13,4,6,21,0,0,0,2,10,18,13,4,47,0,0,47,0,35
