csa,lat,long,es_20200107_roc,th_20200107_roc,psh_20200107_roc,es_20200108_roc,th_20200108_roc,psh_20200108_roc,es_20200109_roc,th_20200109_roc,psh_20200109_roc,es_20200210_roc,th_20200210_roc,psh_20200210_roc,es_20200211_roc,th_20200211_roc,psh_20200211_roc,es_20200212_roc,th_20200212_roc,psh_20200212_roc,es_20200301_roc,th_20200301_roc,psh_20200301_roc,es_20200302_roc,th_20200302_roc,psh_20200302_roc,es_20200303_roc,th_20200303_roc,psh_20200303_roc,es_20200404_roc,th_20200404_roc,psh_20200404_roc,es_20200405_roc,th_20200405_roc,psh_20200405_roc,es_20200406_roc,th_20200406_roc,psh_20200406_roc,es_cur_csa,inflow_202001,inflow_202002,inflow_202003,inflow_202004
Santa Monica,34.02305151,-118.4818147,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,0,333.33,0,7,20,20,20,20
Sherman Oaks,34.1524197,-118.4390705,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,-70.83,0,0,7,7,7,7,7
Signal Hill,33.80300457,-118.1682682,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,-40,0,0,3,3,3,3,3
Silverlake,34.0957007,-118.2702422,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,-100,-100,0,0,0,0,0,0
South Park,33.99971616,-118.2742966,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,14.29,0,0,8,8,8,8
South Whittier,33.93362577,-118.0311912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Sun Valley,34.22752699,-118.3554797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temple-Beaudry,34.06982571,-118.2677393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrance,33.83461927,-118.341636,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,4,4,4,4,4
Tujunga,34.25112908,-118.2884962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University Park,34.02799153,-118.2788351,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,104,0,0,51,52,52,52,52
Van Nuys,34.20103175,-118.4627957,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,26.09,0,0,29,29,29,29,29
Venice,33.99379127,-118.4620668,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,18.75,0,0,19,19,19,19,19
Vermont Square,33.99937601,-118.2980432,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,14.71,0,0,39,39,39,39,39
Vermont Vista,33.95432578,-118.2820684,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,82.35,0,0,31,31,31,31,31
Vernon Central,34.0003959,-118.2515649,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,-14.29,0,0,18,18,18,18,18
Victoria Park,34.04400033,-118.3246197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington Square,34.03581451,-118.3334917,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,-41.67,0,0,7,7,7,7,7
West Hollywood,34.08827817,-118.3717658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West LA,34.05729113,-118.456949,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,-16.28,0,0,36,40,40,40,40
West Vernon,34.0001143,-118.3001922,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,9.46,0,0,81,81,81,81,81
West Whittier/Los Nietos,33.97660826,-118.0689079,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,-11.36,0,0,39,39,39,39,39
